aX,aY,aZ,gX,gY,gZ
0.803,1.280,-2.468,63.630,-63.700,22.820
0.773,1.197,-2.556,37.940,-38.710,29.610
0.752,1.036,-2.769,-2.030,4.480,26.950
0.695,0.878,-2.970,-30.380,61.250,18.900
0.641,0.730,-3.038,-25.830,117.390,5.810
0.545,0.620,-3.061,-25.970,165.480,-5.320
0.472,0.551,-3.050,-20.090,215.040,-17.430
0.356,0.574,-2.960,6.650,239.820,-29.330
0.351,0.690,-2.842,39.270,256.620,-33.810
0.380,0.792,-2.682,55.580,274.540,-33.530
0.390,0.889,-2.526,57.540,295.050,-22.260
0.369,0.962,-2.347,41.020,314.230,-11.620
0.319,0.960,-2.191,13.930,334.250,-1.960

0.218,0.826,-2.068,-39.130,367.360,7.210
0.130,0.706,-1.990,-77.700,397.110,11.900
0.041,0.673,-1.875,-104.720,417.550,21.280
-0.071,0.634,-1.745,-106.680,436.240,28.420
-0.147,0.595,-1.686,-82.530,447.790,36.260
-0.200,0.598,-1.598,-42.420,459.340,43.470
-0.208,0.465,-1.533,-4.550,477.400,42.910
-0.262,0.408,-1.405,18.550,494.340,41.930
-0.287,0.404,-1.159,26.670,507.360,43.260
-0.343,0.383,-0.828,34.580,516.880,45.780
-0.378,0.331,-0.647,15.960,516.460,50.470
-0.429,0.284,-0.448,-3.780,510.020,56.770
-0.484,0.194,-0.307,-6.580,497.910,58.800
-0.516,0.074,-0.198,-18.620,476.350,55.650
-0.524,0.002,-0.130,-19.320,454.300,48.090
-0.547,-0.064,-0.070,-8.820,428.890,38.920
-0.603,-0.121,-0.014,9.450,413.210,29.050
-0.587,-0.146,0.080,22.960,399.070,19.460
-0.579,-0.176,0.146,53.270,384.790,5.320
-0.545,-0.189,0.214,30.310,370.720,-3.920
-0.543,-0.223,0.266,14.280,358.820,-14.700
-0.533,-0.215,0.322,-0.210,347.480,-26.670
-0.566,-0.220,0.399,5.040,340.690,-41.790
-0.527,-0.176,0.466,-0.420,329.770,-53.620
-0.462,-0.114,0.600,-16.590,316.050,-60.620
-0.404,-0.041,0.678,-23.030,312.340,-64.890
-0.368,0.000,0.754,-31.220,313.390,-66.570
-0.338,0.038,0.804,-45.570,317.590,-63.700
-0.419,0.037,0.839,-53.830,305.550,-62.160
-0.456,0.037,0.920,-43.960,293.790,-45.850
-0.698,-0.044,1.062,-32.410,264.740,-94.010
-0.796,0.031,1.153,-10.920,234.430,-96.740
-0.694,0.113,1.188,11.760,265.160,-61.530
-0.710,0.216,1.480,11.060,279.160,-52.570
-0.818,0.331,1.687,-23.730,272.650,-57.750
-0.871,0.399,1.907,-58.940,261.450,-51.100
-0.956,0.464,2.153,-88.900,241.500,-39.690
-1.021,0.569,2.367,-107.100,215.320,-15.750
-1.090,0.580,2.720,-101.640,166.880,1.330
-1.186,0.603,2.923,-96.530,111.580,19.460
-1.201,0.565,3.225,-83.860,35.700,20.860
-1.232,0.544,3.290,-71.820,-11.410,22.470
-1.128,0.534,3.403,-72.030,-49.280,16.590
-1.118,0.479,3.452,-72.310,-111.020,-0.630
-0.951,0.444,3.451,-68.950,-163.730,-8.820
-0.870,0.435,3.384,-46.200,-222.110,-7.840
-0.862,0.380,3.100,-14.350,-308.770,-1.330
-0.867,0.326,2.764,4.550,-360.640,5.110
-0.925,0.288,2.435,5.320,-400.330,5.600
-1.021,0.228,2.121,-14.910,-433.510,-2.170
-1.067,0.195,1.802,-51.800,-475.300,-7.700
-1.082,0.163,1.342,-101.500,-503.370,-11.830
-1.094,0.118,0.954,-143.150,-508.060,-19.320
-1.108,0.062,0.602,-167.930,-506.660,-32.620
-1.065,-0.036,0.260,-172.830,-498.120,-38.220
-1.010,-0.102,-0.026,-167.930,-479.150,-25.130
-0.884,-0.178,-0.305,-155.750,-441.910,-8.330
-0.916,-0.183,-0.399,-128.660,-409.920,-73.710
-0.837,-0.244,-0.504,-23.170,-392.560,-97.160
-0.768,-0.238,-0.447,40.810,-370.020,-113.050
-0.636,-0.184,-0.365,65.030,-357.910,-117.810
-0.512,-0.100,-0.293,75.460,-352.870,-112.000
-0.448,0.010,-0.250,85.050,-350.140,-102.270
-0.429,0.063,-0.256,103.950,-357.630,-97.160
-0.414,0.103,-0.272,123.900,-401.520,-99.820
-0.407,0.099,-0.299,150.850,-429.520,-98.560
-0.397,0.085,-0.446,124.950,-439.740,-103.670
-0.488,-0.005,-0.637,34.930,-435.820,-109.900
-0.527,-0.136,-0.853,-38.920,-412.650,-120.750
-0.596,-0.154,-1.078,-92.890,-368.900,-139.230
-0.627,-0.102,-1.212,-150.360,-351.890,-168.140
-0.634,0.098,-1.400,-188.160,-339.920,-211.470
-0.666,0.332,-1.612,-145.250,-339.220,-237.300
-0.417,0.706,-1.780,-79.170,-355.950,-237.370
-0.232,0.958,-1.868,2.660,-366.450,-216.930
-0.103,1.332,-1.825,161.000,-390.810,-199.360
-0.019,1.420,-1.812,230.090,-395.780,-177.100
0.128,1.440,-1.847,222.460,-389.480,-150.780
0.113,1.383,-1.929,154.420,-367.080,-128.520
0.116,1.290,-2.092,62.580,-322.210,-114.730
0.199,1.225,-2.155,-67.340,-286.860,-109.830
0.199,1.293,-2.373,-135.870,-245.980,-114.520
0.324,1.422,-2.407,-101.640,-220.780,-112.840
0.535,1.552,-2.362,-53.760,-203.770,-95.830
0.476,1.781,-2.276,-19.390,-197.260,-77.980
0.589,1.899,-2.239,16.310,-194.040,-54.600
0.587,2.005,-2.158,18.340,-188.510,-36.960
0.630,2.030,-2.141,12.040,-174.930,-26.390
0.593,1.969,-2.335,-7.000,-134.330,-22.050
0.610,1.889,-2.430,-35.980,-82.320,-23.520
0.677,1.796,-2.594,-57.330,-17.430,-16.380
0.743,1.675,-2.660,-50.680,38.010,3.080
0.780,1.583,-2.656,-12.460,80.430,17.920
0.802,1.545,-2.637,16.450,106.190,25.550
0.741,1.494,-2.578,49.490,125.930,30.660
0.653,1.496,-2.486,82.320,147.560,35.000
0.596,1.518,-2.331,107.240,175.910,35.210
0.494,1.507,-2.216,125.720,195.790,31.150
0.447,1.506,-2.117,116.830,218.680,43.960
0.403,1.461,-2.022,101.570,245.490,48.300
0.390,1.423,-1.946,72.660,269.990,55.930
0.351,1.387,-1.936,41.580,290.150,62.230
0.282,1.269,-1.960,-17.220,313.530,73.010
0.210,1.212,-1.983,-44.170,343.560,81.760
0.165,1.157,-2.009,-46.620,377.930,90.650
0.096,1.139,-2.008,-36.540,404.600,100.170
-0.121,1.137,-1.995,-15.540,438.970,102.830
-0.050,1.065,-1.912,17.990,457.100,102.410
-0.112,1.067,-1.728,48.370,469.420,103.600
-0.150,1.024,-1.551,50.330,478.940,111.370
-0.172,0.893,-1.360,30.940,488.740,117.390
-0.205,0.813,-1.155,18.270,495.460,121.730
-0.254,0.733,-0.924,14.490,492.940,128.030
-0.305,0.643,-0.650,16.940,482.860,133.210
-0.317,0.559,-0.539,11.200,470.470,138.810
-0.322,0.416,-0.450,1.050,461.510,148.260
-0.332,0.256,-0.362,1.050,456.330,150.780
-0.379,0.139,-0.261,5.040,450.590,144.060
-0.453,0.092,-0.142,14.840,440.650,133.210

-0.675,0.254,1.706,-16.660,237.510,-23.730
